ApsimVersion = 7.9 r0
Title = Gilmore_CS_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        767.000        576.000        112.000            290.416                17.4           5.992                  46.784                 0.000
     31/12/1995           1995        788.000        462.000        112.000            373.469                34.8           9.324                   0.000               156.697
     31/12/1996           1996        924.000        694.000        112.000            495.972                34.6           6.970                  42.759                 0.000
     31/12/1997           1997        626.000        400.000        112.000            253.114                11.9           4.706                   0.000               166.755
     31/12/1998           1998        965.000        681.000        112.000            514.256                27.9           5.421                  41.212                 0.000
     31/12/1999           1999        787.000        421.000        112.000            350.873                19.1           5.445                   0.000               187.255
     31/12/2000           2000        625.000        398.000        112.000            265.170                15.5           5.850                  35.033                 0.000
     31/12/2001           2001        861.000        510.000        112.000            382.747                23.0           6.004                   0.000               116.278
     31/12/2002           2002        774.000        623.000        112.000            346.803                14.7           4.248                  46.421                 0.000
     31/12/2003           2003        733.000        432.000        112.000            323.583                14.0           4.327                   0.000               183.692
     31/12/2004           2004        858.500        406.000        112.000            519.327                12.9           2.485                  40.565                 0.000
     31/12/2005           2005        802.000        535.000        112.000            299.996                14.7           4.892                   0.000               183.155
     31/12/2006           2006        696.000        464.000        112.000            338.162                17.0           5.038                  47.361                 0.000
     31/12/2007           2007       1086.000        702.000        112.000            529.484                19.2           3.629                   0.000               161.023
     31/12/2008           2008       1001.000        678.000        112.000            631.504                20.1           3.182                  49.516                 0.000
     31/12/2009           2009        817.000        605.000        112.000            343.795                10.8           3.130                   0.000               196.283
     31/12/2010           2010       1088.000        876.000        112.000            663.100                 6.4           0.959                  42.761                 0.000
     31/12/2011           2011        591.000        390.000        112.000            248.256                11.8           4.761                   0.000               151.431
     31/12/2012           2012        620.000        373.000        112.000            248.557                15.1           6.079                  55.875                 0.000
     31/12/2013           2013        682.000        374.000        112.000            395.629                16.2           4.092                   0.000               156.434
     31/12/2014           2014        980.000        777.000        112.000            634.617                 9.2           1.446                  37.664                 0.000
     31/12/2015           2015       1137.000        717.000        112.000            519.938                27.6           5.306                   0.000               178.124
     31/12/2016           2016        899.000        660.000        112.000            424.171                12.9           3.038                  48.612                 0.000
     31/12/2017           2017        758.000        520.000        112.000            347.100                15.1           4.365                   0.000               203.700
     31/12/2018           2018       1171.000        867.000        112.000            699.912                19.5           2.780                  46.098                 0.000
     31/12/2019           2019        951.000        654.000        112.000            491.714                25.2           5.130                   0.000               170.784
