ApsimVersion = 7.9 r0
Title = Masarik_CS_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        952.000        650.000        250.000            367.085                15.2           4.131                  33.789                 0.000
     31/12/1995           1995        922.000        545.000        250.000            265.820                27.2          10.237                   0.000               129.624
     31/12/1996           1996        824.000        532.000        250.000            424.791                43.3          10.187                  50.416                 0.000
     31/12/1997           1997        818.000        564.000        250.000            236.213                19.2           8.123                   0.000                97.499
     31/12/1998           1998       1023.000        561.000        250.000            464.013                44.7           9.629                  59.399                 0.000
     31/12/1999           1999        965.000        539.000        250.000            261.925                19.7           7.511                   0.000               197.903
     31/12/2000           2000       1108.000        785.000        250.000            488.312                53.2          10.892                  30.135                 0.000
     31/12/2001           2001       1148.000        773.000        250.000            310.454                42.0          13.523                   0.000               147.034
     31/12/2002           2002        745.000        409.000        250.000            339.678                44.4          13.060                  66.133                 0.000
     31/12/2003           2003        904.000        416.000        250.000            271.807                23.8           8.751                   0.000               186.468
     31/12/2004           2004       1072.000        722.000        250.000            512.076                37.9           7.404                  53.585                 0.000
     31/12/2005           2005        739.000        439.000        250.000            209.368                17.6           8.390                   0.000               235.271
     31/12/2006           2006       1081.000        679.000        250.000            492.408                44.6           9.057                  67.784                 0.000
     31/12/2007           2007       1127.000        733.000        250.000            310.218                24.6           7.922                   0.000               198.777
     31/12/2008           2008       1272.000        713.000        250.000            586.285                49.5           8.436                  42.072                 0.000
     31/12/2009           2009       1009.000        516.000        250.000            304.776                23.9           7.848                   0.000               142.211
     31/12/2010           2010       1110.000        831.000        250.000            473.921                40.1           8.470                  51.912                 0.000
     31/12/2011           2011        867.000        407.000        250.000            292.880                33.2          11.331                   0.000               183.971
     31/12/2012           2012        705.500        378.000        250.000            263.861                36.9          13.985                  70.361                 0.000
     31/12/2013           2013       1051.000        525.000        250.000            340.925                22.7           6.673                   0.000               173.662
     31/12/2014           2014        914.000        546.000        250.000            437.524                43.6           9.958                  52.588                 0.000
     31/12/2015           2015       1014.000        591.000        250.000            264.800                30.2          11.389                   0.000               211.765
     31/12/2016           2016       1138.500        832.000        250.000            475.185                43.6           9.181                  61.537                 0.000
     31/12/2017           2017        939.000        509.000        250.000            282.323                23.4           8.297                   0.000               170.787
     31/12/2018           2018       1193.000        767.000        250.000            536.127                52.0           9.694                  54.566                 0.000
     31/12/2019           2019       1246.000        719.000        250.000            384.483                42.4          11.017                   0.000               127.768
