ApsimVersion = 7.9 r0
Title = RandIragSC_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        880.000        658.000        250.000            111.046                13.6          12.258                   0.000               155.789
     31/12/1995           1995       1051.000        718.000        250.000            415.692                60.2          14.470                  47.742                 0.000
     31/12/1996           1996        795.000        567.000        250.000            106.684                 2.2           2.025                   0.000               173.930
     31/12/1997           1997        687.000        424.000        250.000            234.915                 7.6           3.223                  47.399                 0.000
     31/12/1998           1998        891.000        652.000        250.000            141.198                 3.7           2.635                   0.000               195.063
     31/12/1999           1999        740.000        524.000        250.000            287.536                22.1           7.692                  65.032                 0.000
     31/12/2000           2000        833.000        612.000        250.000             82.872                 6.9           8.308                   0.000               163.581
     31/12/2001           2001        959.000        465.000        250.000            386.077                81.9          21.203                  67.625                 0.000
     31/12/2002           2002        804.000        647.000        250.000             46.978                 2.7           5.658                   0.000               170.153
     31/12/2003           2003        760.000        559.000        250.000            211.480                57.8          27.335                  74.037                 0.000
     31/12/2004           2004        893.500        766.000        250.000             92.748                 6.9           7.400                   0.000               163.196
     31/12/2005           2005       1005.000        794.000        250.000            296.541                46.6          15.703                  73.688                 0.000
     31/12/2006           2006        731.000        522.000        250.000             34.305                 1.3           3.793                   0.000               165.438
     31/12/2007           2007        917.000        661.000        250.000            352.422                63.8          18.115                  54.191                 0.000
     31/12/2008           2008        815.000        567.000        250.000             61.932                 4.4           7.031                   0.000               178.762
     31/12/2009           2009        869.000        679.000        250.000            308.548                52.7          17.087                  60.751                 0.000
     31/12/2010           2010       1201.000       1038.000        250.000            189.860                25.3          13.315                   0.000               148.305
     31/12/2011           2011        829.000        538.000        250.000            426.845                65.5          15.335                  58.051                 0.000
     31/12/2012           2012        825.000        580.000        250.000             99.201                 7.4           7.478                   0.000               181.861
     31/12/2013           2013        821.000        541.000        250.000            181.692                53.7          29.529                  61.285                 0.000
     31/12/2014           2014        819.000        602.000        250.000             98.185                 6.7           6.818                   0.000               175.178
     31/12/2015           2015       1009.000        838.000        250.000            330.077                56.7          17.189                  18.592                 0.000
     31/12/2016           2016       1027.000        802.000        250.000            108.556                23.4          21.572                   0.000               176.158
     31/12/2017           2017        894.000        752.000        250.000            299.477                58.5          19.550                  68.878                 0.000
     31/12/2018           2018       1093.000        846.000        250.000            157.361                22.4          14.208                   0.000               158.248
     31/12/2019           2019       1325.000        783.000        250.000            622.763                75.2          12.076                  57.540                 0.000
