ApsimVersion = 7.9 r0
Title = Gilmore_SC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        767.000        578.000        112.000            323.416                35.0          10.827                   0.000               156.641
     31/12/1995           1995        788.000        462.000        112.000            446.885                42.4           9.492                  39.571                 0.000
     31/12/1996           1996        924.000        694.000        112.000            373.694                27.7           7.401                   0.000               182.515
     31/12/1997           1997        626.000        400.000        112.000            312.545                16.8           5.372                  48.222                 0.000
     31/12/1998           1998        965.000        681.000        112.000            434.105                28.2           6.502                   0.000               157.449
     31/12/1999           1999        787.000        421.000        112.000            423.242                27.4           6.480                  47.802                 0.000
     31/12/2000           2000        625.000        399.000        112.000            274.510                21.1           7.677                   0.000               165.835
     31/12/2001           2001        861.000        510.000        112.000            466.854                26.7           5.721                  39.307                 0.000
     31/12/2002           2002        774.000        623.000        112.000            247.045                10.7           4.333                   0.000               176.945
     31/12/2003           2003        733.000        432.000        112.000            380.341                16.0           4.196                  52.128                 0.000
     31/12/2004           2004        858.500        542.000        112.000            379.450                14.2           3.737                   0.000               195.634
     31/12/2005           2005        802.000        535.000        112.000            438.432                10.1           2.294                  50.602                 0.000
     31/12/2006           2006        696.000        487.000        112.000            327.475                15.8           4.820                   0.000               168.847
     31/12/2007           2007       1086.000        693.000        112.000            620.273                24.2           3.902                  44.074                 0.000
     31/12/2008           2008       1001.000        678.000        112.000            452.125                23.0           5.096                   0.000               172.232
     31/12/2009           2009        817.000        605.000        112.000            475.690                12.5           2.636                  46.969                 0.000
     31/12/2010           2010       1088.000        887.000        112.000            486.681                21.5           4.419                   0.000               171.675
     31/12/2011           2011        591.000        390.000        112.000            334.764                13.3           3.963                  36.662                 0.000
     31/12/2012           2012        620.000        373.000        112.000            189.102                 7.4           3.888                   0.000               174.228
     31/12/2013           2013        682.000        374.000        112.000            475.488                20.2           4.255                  46.870                 0.000
     31/12/2014           2014        980.000        789.000        112.000            446.063                18.0           4.036                   0.000               156.139
     31/12/2015           2015       1137.000        714.000        112.000            671.358                15.2           2.263                  35.932                 0.000
     31/12/2016           2016        899.000        663.000        112.000            334.548                16.2           4.857                   0.000               172.778
     31/12/2017           2017        758.000        520.000        112.000            408.992                20.4           4.989                  53.501                 0.000
     31/12/2018           2018       1171.000        868.000        112.000            577.956                33.8           5.848                   0.000               168.202
     31/12/2019           2019        951.000        644.000        112.000            602.089                18.0           2.998                  45.282                 0.000
